ZIP,SE_T002_002,PCT_SE_T005_002,PCT_SE_T005_003,PCT_SE_T005_004,PCT_SE_T005_005,PCT_SE_T005_006,PCT_SE_T005_007,PCT_SE_T005_008,PCT_SE_T005_009,PCT_SE_T005_010,PCT_SE_T005_011,PCT_SE_T005_012,PCT_SE_T005_013,PCT_SE_T005_014,PCT_SE_T005_015,PCT_SE_T005_016,PCT_SE_T005_017,PCT_SE_T005_018,PCT_SE_T005_019,PCT_SE_T005_020,PCT_SE_T005_021,PCT_SE_T005_022,PCT_SE_T005_023,PCT_SE_T005_024,PCT_SE_T005_025,PCT_SE_T005_026,PCT_SE_T005_027,PCT_SE_T018_002,PCT_SE_T018_003,PCT_SE_T018_004,PCT_SE_T018_005,PCT_SE_T018_011,PCT_SE_T018_013,PCT_SE_T018_014,PCT_SE_T018_017,PCT_SE_T018_018,PCT_SE_T018_019,PCT_SE_T022_002,PCT_SE_T022_003,PCT_SE_T022_004,PCT_SE_T022_005,PCT_SE_T022_006,PCT_SE_T023_002,PCT_SE_T023_003,PCT_SE_T023_004,PCT_SE_T023_005,PCT_SE_T023_006,PCT_SE_T023_007,PCT_SE_T023_008,PCT_SE_T023_009,PCT_SE_T150_002,PCT_SE_T150_003,PCT_SE_T150_004,PCT_SE_T150_005,PCT_SE_T150_006,PCT_SE_T150_007,PCT_SE_T150_008,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,PCT_SE_T081_002,PCT_SE_T081_003,SE_T083_001,SE_T157_001,PCT_SE_T094_002,PCT_SE_T094_003,PCT_SE_T095_002,PCT_SE_T095_003,PCT_SE_T096_002,PCT_SE_T096_003,PCT_SE_T096_004,PCT_SE_T097_002,PCT_SE_T097_003,PCT_SE_T097_004,PCT_SE_T097_005,PCT_SE_T097_006,PCT_SE_T097_007,PCT_SE_T097_008,PCT_SE_T097_009,PCT_SE_T097_010,PCT_SE_T097_011,PCT_SE_T097_012,SE_T098_001,SE_T101_001,SE_T104_001,PCT_SE_T129_002,PCT_SE_T129_003,PCT_SE_T129_004,PCT_SE_T129_005,PCT_SE_T129_006,PCT_SE_T129_007,PCT_SE_T129_008,PCT_SE_T129_009,PCT_SE_T129_010,SE_T147_001,PCT_SE_T130_002,PCT_SE_T130_003,PCT_SE_T130_004,PCT_SE_T130_005,PCT_SE_T130_006,SE_T141_001,SE_T142_001
19142,17064.49,48.14,3.95,4.64,4.44,2.43,7.1,6.11,6.8,7.11,3.08,1.7,0.53,0.26,51.86,4.52,4.32,4.15,2.41,5.3,7.58,8.4,5.84,5.22,2.49,1.27,0.36,38.99,38.71,13.28,25.43,61.01,10.38,11.48,39.16,18.13,21.03,57.6,26.35,4.65,5.42,5.98,5.08,0.33,0,0.33,4.75,2.13,2.62,94.92,24.79,75.21,35.85,9.62,2.37,0.67,0.36,61.23,0,61.23,49.92,11.31,38.77,30471,9.57,90.43,13810,0.4656,50.5,49.5,82.79,17.21,16.54,10.26,73.2,84.71,6.28,78.43,8.77,3.48,1.1,0.33,0.54,0.34,0.73,0,1945,82000,911,98.53,3.15,19.65,12.1,21.19,21.6,9.93,10.92,1.47,40,89.66,7.13,0.79,1.33,1.1,3717,4760
19143,20098.87,45.15,3.5,2.86,3.22,2.07,5.87,6.96,5.31,5.87,5,2.71,1.42,0.35,54.85,3.01,2.38,2.83,1.73,6.42,9.16,6.69,6.75,7.07,4.46,3.07,1.28,24.05,23.91,6.46,17.45,75.95,9.89,13.78,52.27,22.82,29.45,56.03,19.58,5.12,8.78,10.48,5.33,0.63,0.18,0.44,4.7,1.72,2.98,94.67,16.81,83.19,45.34,20.7,8.21,2.23,1.5,57.99,0,57.99,45.89,12.1,42.01,30391,17.92,82.08,19359,0.4879,52.29,47.71,83.77,16.23,11.14,8.12,80.74,71.4,4.38,67.02,8.97,7.7,5.42,1.18,2.57,2.71,0.05,0,1942,83500,826,97.69,5.77,16.13,18.82,23.68,15.43,11.86,6.01,2.31,35,87.18,8.73,1.62,1.57,0.89,13364,13331
19144,12102.13,46.09,4.18,3.58,3.1,1.27,4.62,6.54,5.01,6.32,6.41,3.04,1.58,0.43,53.91,3.89,2.25,2.04,1.57,6.49,9.52,5.63,7.42,7.56,3.83,2.23,1.47,24.26,23.95,7.7,16.25,75.74,11.12,8.81,55.81,23.03,32.78,58.05,22.11,3.47,6.95,9.42,5.21,0.5,0.25,0.25,4.71,2.34,2.36,94.79,18.26,81.74,46.78,23.17,9.29,1.97,1.19,55.09,0,55.09,45.38,9.71,44.91,28363,14.88,85.12,19667,0.5251,36.96,63.04,78.45,21.55,29.15,3.08,67.77,46.58,6.46,40.12,8.86,10.32,4.13,3.51,6.47,19.97,0.15,0,1945,116600,807,95.21,4.01,15.21,16.72,23.99,22.11,10.29,2.88,4.79,33,83.86,11.85,1.39,2.43,0.46,9565,6299
19145,9759.901,44.9,5.08,2.83,2.66,1.47,3.72,7.02,5.43,5.73,5.94,2.51,1.93,0.59,55.1,4.13,3.35,3.05,1.45,5.47,8.82,6.95,6,6.66,4.47,3.18,1.57,29.25,29.09,13.76,15.33,70.75,17.24,11.14,42.38,17.79,24.59,44.15,33.27,3.72,8.88,9.97,5.3,0.66,0.46,0.19,4.65,1.37,3.27,94.7,20.06,79.94,41.55,17.98,5.79,1.52,0.43,62.47,0,62.47,53.61,8.86,37.53,36374,16.33,83.67,21997,0.4907,59.61,40.39,87.49,12.51,22.76,8.13,69.12,80.84,5.31,75.53,5.99,4.19,1.35,2.42,1.22,3.82,0.16,0,1939,150600,880,97.24,6.76,24.1,23.2,19.41,13.97,6.52,3.26,2.76,29,88.74,8.49,0.44,1.72,0.61,7689,10776
19146,21659.69,46.32,2.96,1.72,2.15,1.27,5.41,11.69,6.66,5.68,4.7,2.6,1.29,0.2,53.68,3.42,1.57,1.49,1.56,7,14.12,7.02,5.13,6.07,3.09,1.79,1.41,19.81,19.81,8.96,10.86,80.19,14.03,9.36,56.8,24.51,32.29,57.59,25.19,3.44,5.4,8.37,9.18,1.78,1.08,0.7,7.39,2.76,4.63,90.82,13.09,86.91,60.6,42.52,21.7,9.86,3.35,68.13,0,68.13,60.01,8.11,31.87,45473,11.07,88.93,34051,0.5359,50.6,49.4,82.84,17.16,19.12,12.91,67.96,72.05,4.53,67.52,7.22,8.47,2.49,1.03,3.19,5.47,0.07,0,1939,210800,975,95.4,4.54,25.94,24.71,17.13,13.89,6.01,3.18,4.6,29,80.69,13.52,1.94,3.69,0.16,8958,7980
19147,25991.25,50.11,3.04,2.09,1.15,0.83,4.17,14.6,8.2,5.91,5.42,2.76,1.57,0.38,49.89,2.73,2.52,1.31,0.62,4.08,14.39,7.26,5.55,5.25,2.94,2.2,1.04,16.06,15.95,10.87,5.08,83.94,18.84,6.59,58.5,29.04,29.47,47.67,36.7,2.37,4.53,8.73,8.51,2.16,1.36,0.81,6.34,3.15,3.19,91.49,11.65,88.35,70.32,53.62,26.55,10.43,3.12,75.9,0.07,75.83,70.53,5.3,24.1,62722,11.3,88.7,41084,0.4741,51.56,48.44,87.44,12.56,22.71,15.14,62.14,59.48,4.92,54.55,8.45,17.84,5.03,1.45,1.47,6.04,0.24,0,1939,301300,1076,94.97,6.15,26.44,22.44,19.89,12.04,6.12,1.89,5.03,28,81.04,11.55,2.2,4.13,1.09,9590,8436
19148,12462.74,49.63,3.94,2.74,2.47,1.5,4.12,11.02,7.54,6.44,5.01,2.57,1.68,0.6,50.37,3.24,1.94,2.66,1.38,4.13,9.83,6.44,5.86,6.47,3.84,2.99,1.59,26.73,26.6,14.97,11.62,73.27,19.4,10.4,43.48,19.46,24.02,44.47,36.47,2.41,8.67,7.98,9.37,0.82,0.37,0.45,8.55,4.12,4.43,90.63,26.97,73.03,38.83,20.29,7.09,1.89,0.73,63.38,0.07,63.31,54.85,8.46,36.62,42119,15.82,84.18,21868,0.4379,66.34,33.66,89.11,10.89,18.69,12.9,68.41,82.61,5.6,77.01,9.45,5.55,0.78,0.29,0.55,0.35,0.38,0.04,1939,165700,930,98.14,6.93,22.64,22.19,24.28,13.86,6.81,1.43,1.86,28,86.66,9.79,0.73,1.27,1.56,8324,12663
19149,22829.17,47.33,4.28,4.02,4.1,2.14,4.68,7.94,6.47,5.66,4.3,2.37,0.78,0.58,52.67,4.02,4.01,4.11,2.25,4.72,9.28,7.01,7.29,4.84,2.45,1.63,1.06,40.64,40.17,22.43,17.74,59.36,15.8,10.14,33.41,14.99,18.42,42.99,39.3,2.56,6.18,8.96,6.28,0.26,0.14,0.12,6.01,2.97,3.04,93.72,22.52,77.48,37.64,14.09,3.91,0.92,0.15,65.07,0.05,65.02,56.26,8.76,34.93,37602,11.5,88.5,17579,0.4192,60.15,39.85,91.74,8.26,45.41,5.78,48.81,82.31,5,77.31,12.64,2.58,0.35,0.46,0.41,0.96,0.28,0,1952,129100,1052,99.05,4.45,15.27,19.19,24.01,19.62,11.67,4.85,0.95,35,89.27,7.31,0.52,1.56,1.33,6316,11212
19150,16769.3,45.5,3.34,3.27,3.08,1.76,4.8,4.75,4.78,6.43,6.28,5.11,1.47,0.43,54.5,2.87,2.51,2.6,1.72,4.19,6.99,6.22,7.86,8.75,7.27,2.34,1.17,24.98,24.98,9.29,15.69,75.02,21.91,11.99,41.12,14.43,26.69,42.64,33.01,4.74,7.06,12.55,1.95,0,0,0,1.95,0.89,1.06,98.05,10.88,89.12,51.58,23.18,10.11,2.28,1.04,57.33,0,57.33,48.54,8.78,42.67,46267,30.28,69.72,23031,0.4068,76.1,23.9,92.2,7.8,35.71,3.86,60.43,80.83,9.94,70.89,11.28,2.78,0.95,0.54,1.65,1.98,0,0,1953,154700,992,97.73,3.62,12.49,16.39,25.63,23.28,11.21,5.11,2.27,37,94.31,4.36,0.88,0.24,0.2,4027,7453
19151,13665.21,42.54,2.96,2.9,3.17,2.84,5.35,4.37,5,6.12,5.53,2.43,1.07,0.8,57.46,3.62,3.55,3.74,2.92,5.98,7.48,7.15,9.85,6.23,3.48,2.6,0.86,34,33.86,10.54,23.32,66,15.41,11.5,39.09,14.5,24.58,51.4,26.64,5.14,5.84,10.98,5.08,0.02,0.02,0,5.07,1.93,3.13,94.92,14.25,85.75,57.83,22.99,9.93,2.71,0.79,59.5,0,59.5,51.24,8.26,40.5,41092,15.35,84.65,20775,0.4571,65.64,34.36,89.38,10.62,17.33,9.48,73.2,76.83,8.67,68.16,8.16,6.63,2.78,1.25,1.67,2.34,0.35,0,1944,122800,930,98.07,4.38,13.59,19.34,26.55,18.65,10.07,5.48,1.93,35,93.87,4.69,0.93,0.25,0.25,4669,7812
19152,12304.93,47.29,3.22,2.41,3,2.03,3.43,7.51,7.18,5.8,5.82,3.22,2.59,1.09,52.71,3.55,2.72,3.01,1.55,3.64,6.6,6.13,6.82,7.14,4.34,4.01,3.19,29.69,29.69,20.52,9.17,70.31,24.76,7.96,37.59,17.2,20.38,33.23,47.59,2.97,9.53,6.68,3.19,0.54,0.21,0.32,2.66,1.7,0.96,96.81,15.73,84.27,43.09,22.4,6.48,1.4,0.59,61.33,0,61.33,54.74,6.59,38.67,49097,17.76,82.24,23383,0.4223,62.93,37.07,93.27,6.73,53.22,3.83,42.95,67.02,11.65,55.38,12.81,2.15,4.06,2.6,3.49,7.69,0.18,0,1958,193700,935,97.31,5.17,20,20.95,22.02,20.38,6.73,2.06,2.69,31,89.1,7.65,1.03,0.95,1.27,4765,7978
19153,1629.535,46.69,4.22,1.52,2.07,1.16,4.75,6.79,7.13,7.37,5.08,4.33,1.06,1.21,53.31,2.02,3.16,2.8,1.9,3.77,7.16,6.52,7.07,9.53,4.79,2.62,1.97,20.2,20.2,8.13,12.07,79.8,20.37,10.61,48.81,22.8,26.01,39.31,35.57,3.47,9.13,12.51,5.89,1.15,0,1.15,4.74,2.64,2.1,94.11,14.73,85.27,48.45,20.36,8.55,1.83,1.19,65.43,0.15,65.28,54.93,10.35,34.57,44118,23.33,76.67,23975,0.4156,60.23,39.77,92.12,7.88,24.55,7.05,68.41,65.62,7.29,58.33,14.06,9.29,0.56,3.81,1.5,5.16,0,0,1968,136000,1026,99.21,5.65,20.15,23.82,24.49,14.56,6.51,4.03,0.79,32,89.96,4.7,2.85,2.02,0.47,2511,3098
19154,5306.149,49.66,2.87,3.24,4.05,1.75,3.39,7.28,8.09,6.64,5.47,3.62,2.69,0.58,50.34,2.95,3.18,3.06,1.79,3.45,6.62,6.95,7.54,5.57,5.23,2.73,1.27,31.03,30.01,21.06,8.95,68.97,30.36,8.01,30.6,14.96,15.64,33.13,48.76,2.02,8.31,7.78,5.12,0,0,0,5.12,3.22,1.91,94.88,10.98,89.02,44.07,18.83,4.79,0.99,0.3,64.08,0,64.08,58.04,6.03,35.92,59044,20.82,79.18,27147,0.3785,80.81,19.19,92.67,7.33,48.65,29.63,21.73,80.29,11.35,68.95,10.91,0.75,2.88,2.36,0.62,1.75,0.44,0,1965,200400,1090,99.1,8.35,25.21,16.12,21.73,16.03,9.39,2.27,0.9,30,91.99,4.9,2.43,0.37,0.32,3845,9827
